Name                    | Automated                   | Source | Environment          | Custom styling of the style guide | Source code highlighing | Documentation language | Helper functions | Documentation location      | Automated color output | Font examples | Support for templating engines            | JavaScript integration | CoffeeScript integration | Extension API | Generates navigation | Search | Framework integration                                 | Ruby Gem | Bower | Grunt | Gulp | NPM  | Website                                                   | Source                                              | Authors                     | Example project
LivingStyleGuide        | yes                         | Sass   | Ruby                 | yes                               | yes                     | Markdown (extended)    | yes              | Separate file per Sass file | yes                    | yes           | Haml, Mustache, Handlebars.js, Markdown … | yes                    | yes                      | yes           | no                   | no     | Command line, Ruby on Rails, Middleman, Padrino Gulp* | yes      | no    | no    | yes* | no   | http://livingstyleguide.org                               | https://github.com/hagenburger/livingstyleguide     | @hagenburger                | http://livingstyleguide.com/eurucamp/
Style Guide Boilerplate | yes (only collecting files) | HTML   | PHP                  | no                                | yes                     | Plain HTML             | no               | Separate files              | no                     | yes           | no                                        | no                     | no                       | no            | no                   | no     | PHP server                                            | no       | no    | no    | no   | no   | http://brettjankord.com/projects/style-guide-boilerplate/ | https://github.com/bjankord/Style-Guide-Boilerplate | @bjankord                   | http://brettjankord.com/projects/style-guide-boilerplate/
Pattern-Primer          | yes (only collecting files) | HTML   | PHP                  | yes                               | no                      | Plain HTML             | no               | Separate files              | no                     | no            | no                                        | no                     | no                       | no            | no                   | no     | PHP server, Ruby*, Node.js*, Grunt*, Jekyll*          | no       | no    | yes*  | no   | no   | no                                                        | https://github.com/adactio/Pattern-Primer           | @adactio                    | http://patternprimer.adactio.com/
KSS                     | yes                         | CSS    | Ruby                 | no                                | yes                     | Own format             | yes              | Within comments             | no                     | no            | no                                        | no                     | no                       | no            | yes                  | no     | Sinatra, Rails*                                       | yes      | no    | yes*  | no   | yes* | http://warpspire.com/kss/                                 | https://github.com/kneath/kss                       | @kneath                     | https://github.com/styleguide/css
StyleDocco              | yes                         | CSS    | Node.js              | no                                | no                      | Markdown               | no               | Within comments             | no                     | no            | no                                        | no                     | no                       | no            | yes                  | no     | Command line interface                                | no       | no    | yes*  | yes  | yes  | http://jacobrask.github.io/styledocco/                    | https://github.com/jacobrask/styledocco             | @jacobrask                  | http://jacobrask.github.io/styledocco/styledocco/examples/styledocco/docs.html
North Style Prototypes  | yes                         | Sass   | Ruby                 | yes                               | ?                       | ?                      | ?                | ?                           | ?                      | ?             | ?                                         | ?                      | no                       | ?             | ?                    | no     | Yeoman                                                | no       | yes   | no    | no   | no   | no                                                        | https://github.com/north/Style-Prototypes           | @Snugug                     | no
Kalei                   | yes                         | LESS   | Ruby                 | yes                               | yes                     | Markdown               | no               | Within comments             | no                     | no            | no                                        | no                     | no                       | no            | yes                  | no     | Rails*                                                | yes*     | no    | no    | no   | ?    | http://kaleistyleguide.com/                               | https://github.com/thomasdavis/kaleistyleguide      | @neutralthoughts            | http://kaleistyleguide.com/#/style/buttons.css
SassDown                | yes                         | CSS    | JavaScript           | yes                               | yes                     | Markdown               | no               | Within comments             | no                     | no            | Handlebars.js                             | no                     | no                       | no            | ?                    | no     | ?                                                     | no       | no    | yes   | no   | yes  | no                                                        | https://github.com/nopr/sassdown                    | Jesper Hills                | no
Styleguide.js           | yes                         | CSS    | JavaScript           | no                                | no                      | YAML                   | no               | Within comments             | no                     | no            | no                                        | no                     | no                       | yes           | yes                  | no     | ?                                                     | no       | no    | yes   | no   | yes  | no                                                        | https://github.com/eightmedia/styleguide.js         | @jorikdelaporik, @Aratramba | https://rawgit.com/EightMedia/styleguide.js/master/test/expected/index.html
Hologram                | yes                         | CSS    | Ruby                 | ?                                 | yes                     | Markdown               | yes              | Within comments             | no                     | no            | Haml                                      | yes                    | no                       | no            | yes                  | no     | ?                                                     | yes      | no    | no    | no   | no   | http://trulia.github.io/hologram/                         | https://github.com/trulia/hologram                  | @goodrobot_jd, @_uscr       | http://trulia.github.io/hologram-example/base_css.html
Pattern Lab             | yes                         | CSS    | PHP, .NET or Node.js | yes                               | no                      | Mustache               | yes              | Separate files              | no                     | no            | ?                                         | no                     | no                       | yes           | yes                  | yes    | ?                                                     | no       | no    | no    | no   | no   | http://patternlab.io                                      | https://github.com/pattern-lab/patternlab-php       | @brad_frost, @dmolsen       | http://demo.patternlab.io/

